"","name","decade","HEPATITIS","MEASLES","MUMPS","PERTUSSIS","POLIO","RUBELLA","SMALLPOX","Longitude","Latitude"
"1","ALABAMA",1920,0,4.42495049504951,0,0,0.0446153846153846,0,0.26495145631068,-86.8277275175887,32.793701667284
"2","ALABAMA",1930,0,4.4190329218107,0,1.32029126213592,0.0679651162790698,0,0.0931984585741811,-86.8277275175887,32.793701667284
"3","ALABAMA",1940,0,3.420125,0,0.937797270955166,0.14625,0,0.0101609195402299,-86.8277275175887,32.793701667284
"4","ALABAMA",1950,0,3.74640081799591,0,0.695620689655172,0,0,0.03,-86.8277275175887,32.793701667284
"5","ALABAMA",1960,0.1895,1.98303983228512,0.281358024691358,0,0,0.198503937007874,0,-86.8277275175887,32.793701667284
"6","ALABAMA",1970,0.1775,0.212168367346939,0.282998027613412,0.07,0,0.0691949152542373,0,-86.8277275175887,32.793701667284
"7","ALABAMA",1980,0.0755389221556886,0.0112,0.0112378640776699,0.0229056603773585,0,0.00186666666666667,0,-86.8277275175887,32.793701667284
"8","ALABAMA",1990,0.046849710982659,0.00855670103092783,0.00561771561771562,0.019979035639413,0,0.0012,0,-86.8277275175887,32.793701667284
"9","ALABAMA",2000,0.012317880794702,0.032,0.00127659574468085,0.0266320166320166,0,0.00189189189189189,0,-86.8277275175887,32.793701667284
"10","ALABAMA",2010,0.00384615384615385,0,0,0.045,0,0,0,-86.8277275175887,32.793701667284
"11","ALASKA",1920,0,0,0,0,0,0,0,-152.697394645643,64.5532809121691
"12","ALASKA",1930,0,0,0,0,0,0,0,-152.697394645643,64.5532809121691
"13","ALASKA",1940,0,0,0,0,0,0,0,-152.697394645643,64.5532809121691
"14","ALASKA",1950,0,13.5011578947368,0,3.20511627906977,0,0,0,-152.697394645643,64.5532809121691
"15","ALASKA",1960,0.823865546218487,6.89195652173913,6.0510752688172,0,0,2.65333333333333,0,-152.697394645643,64.5532809121691
"16","ALASKA",1970,2.58149206349206,0.268943894389439,1.08219959266802,0.412173913043478,0,0.19440251572327,0,-152.697394645643,64.5532809121691
"17","ALASKA",1980,1.03776255707763,0.017843137254902,0.0571017699115044,0.0529004329004329,0,0.0231797235023041,0,-152.697394645643,64.5532809121691
"18","ALASKA",1990,0.495045317220544,0.125932203389831,0.024468085106383,0.0420198675496689,0,0.00760869565217391,0,-152.697394645643,64.5532809121691
"19","ALASKA",2000,0.0226246719160105,0.005,0.0184615384615385,0.182183098591549,0,0,0,-152.697394645643,64.5532809121691
"20","ALASKA",2010,0.0112903225806452,0,0,0.0966,0,0,0,-152.697394645643,64.5532809121691
"21","ARIZONA",1920,0,3.31987012987013,0,0,0.045,0,1.56631067961165,-111.664054350196,34.2937412398247
"22","ARIZONA",1930,0,7.43844943820225,0,5.55693069306931,0.164719535783366,0,0.458803088803089,-111.664054350196,34.2937412398247
"23","ARIZONA",1940,0,9.55342379958246,0,3.13706457925636,0.18262180974478,0,0.051533180778032,-111.664054350196,34.2937412398247
"24","ARIZONA",1950,0,14.3622874493927,0,3.3280412371134,0,0,0.166666666666667,-111.664054350196,34.2937412398247
"25","ARIZONA",1960,0.534060913705584,5.6802390438247,2.43070707070707,0,0,1.60125,0,-111.664054350196,34.2937412398247
"26","ARIZONA",1970,0.69551282051282,0.315623678646934,0.579220338983051,0.066,0,0.208307692307692,0,-111.664054350196,34.2937412398247
"27","ARIZONA",1980,0.774730077120823,0.116071428571429,0.07324,0.0908504398826979,0,0.0121337579617834,0,-111.664054350196,34.2937412398247
"28","ARIZONA",1990,0.677142857142857,0.0576129032258064,0.0311278195488722,0.0551082251082251,0,0.00493333333333333,0,-111.664054350196,34.2937412398247
"29","ARIZONA",2000,0.0851106194690266,0.00142857142857143,0.00162790697674419,0.126215053763441,0,0.000740740740740741,0,-111.664054350196,34.2937412398247
"30","ARIZONA",2010,0.01375,0,0,0.0686868686868687,0,0,0,-111.664054350196,34.2937412398247
"31","ARKANSAS",1920,0,5.77884210526316,0,0,0.00692307692307692,0,0.233980582524272,-92.4395090268957,34.8991626092658
"32","ARKANSAS",1930,0,3.2136,0,1.24728155339806,0.077422480620155,0,0.247803468208092,-92.4395090268957,34.8991626092658
"33","ARKANSAS",1940,0,4.54099378881988,0,1.05505859375,0.117883720930233,0,0.0376551724137931,-92.4395090268957,34.8991626092658
"34","ARKANSAS",1950,0,5.43565310492505,0,1.43571917808219,0,0,0.05,-92.4395090268957,34.8991626092658
"35","ARKANSAS",1960,0.291988304093567,1.42828571428571,0.188,0,0,0.571904761904762,0,-92.4395090268957,34.8991626092658
"36","ARKANSAS",1970,0.300298507462687,0.0854521963824289,0.256244897959184,0.0714130434782609,0,0.0898806682577566,0,-92.4395090268957,34.8991626092658
"37","ARKANSAS",1980,0.182394822006473,0.0875925925925926,0.0810284463894967,0.0237223974763407,0,0.00348122866894198,0,-92.4395090268957,34.8991626092658
"38","ARKANSAS",1990,0.219152046783626,0.0253012048192771,0.0306060606060606,0.0308205128205128,0,0.00375,0,-92.4395090268957,34.8991626092658
"39","ARKANSAS",2000,0.0292619047619048,0.00571428571428571,0.00283950617283951,0.10225,0,0,0,-92.4395090268957,34.8991626092658
"40","ARKANSAS",2010,0,0,0,0.0438202247191011,0,0,0,-92.4395090268957,34.8991626092658
"41","CALIFORNIA",1920,0,1.36557692307692,0,0,0.0755769230769231,0,0.53252427184466,-119.608055120765,37.2528105889546
"42","CALIFORNIA",1930,0,9.41147286821705,0,3.41252427184466,0.269206963249516,0,0.26009633911368,-119.608055120765,37.2528105889546
